run_label,stage,source,json_path,family_id,task_family,suite_id,layer,mode,profile,row_type,api_prompt_tokens_delta,api_llm_total_tokens_delta,api_completion_tokens_delta,llm_prompt_bytes,prompt_visible_total_bytes,raw_evidence_bytes_seen_by_llm,control_bytes,prompt_scaffolding_bytes_total,llm_prompt_tokens,llm_total_tokens,selected_evidence_bytes,pruning_gain_bytes,api_debug_prompt_tokens_delta,api_debug_llm_total_tokens_delta,llm_prompt_delta_l2_vs_t2,prompt_visible_delta_l2_vs_t2,llm_prompt_saved_by_state_ref_bytes,prompt_visible_saved_by_state_ref_bytes
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.5.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12610,12392,,3112,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.5.metrics,,,,,,,stage_stdout_json,,,,15722,12610,12392,3044,3112,6716,8236,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.6,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,16635,12614,12392,3044,4021,7036,9088,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.6.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12614,12392,,4021,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.6.metrics,,,,,,,stage_stdout_json,,,,16635,12614,12392,3044,4021,7036,9088,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.7,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,16617,12612,12392,3044,4005,7026,8681,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.7.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12612,12392,,4005,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.7.metrics,,,,,,,stage_stdout_json,,,,16617,12612,12392,3044,4005,7026,8681,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.8,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,15521,12620,12392,3044,2901,6634,8383,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.8.audit_summary.hydration,,,,,,,stage_stdout_json,,,,,12620,12392,,2901,,,,,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.8.metrics,,,,,,,stage_stdout_json,,,,15521,12620,12392,3044,2901,6634,8383,399,5290,,,,,,
core,r01_10_continuous_api_local,artifacts/stages/r01_10_continuous_api_local/stdout.json,family_reports.0.layers.0.cases.9,continuous_csv_table_analysis,continuous_csv_table_analysis,,,,,stage_stdout_json,,,,9204,2296,0,1964,6908,2564,4826,1838,252,,,,,,
